keys,en,ca
bio_alicewalton,Alice Walton is the daughter of Walmart founder Sam Walton. Alice Walton has a net worth of $73 billion. Alice Walton is one the richest women in the world and the 20 richest people in the world.,"Alice Walton és la filla del fundador de Walmart, Sam Walton. Alice Walton té un patrimoni net de 73.000 milions de dòlars. Alice Walton és una de les dones més riques del món i les 20 persones més riques del món."
bio_michaelbloomberg,Michael Bloomberg is an American politician and entrepreneur who has a net worth of $70 billion. Michael Bloomberg earned his fortune through his financial news and information services media company Bloomberg LP.,Michael Bloomberg és un polític i empresari nord-americà que té un patrimoni net de 70.000 milions de dòlars. Michael Bloomberg va guanyar la seva fortuna a través de la seva empresa de mitjans de comunicació i serveis d'informació financera Bloomberg LP.
bio_vladimirputin,Vladimir Putin is a Russian politician who was born in the Soviet Union and has a net worth of $70 billion dollars. Vladimir Putin is currently the Acting President of the Russian Federation.,Vladimir Putin és un polític rus nascut a la Unió Soviètica i té un patrimoni net de 70.000 milions de dòlars. Vladimir Putin és actualment el president en funcions de la Federació Russa.
bio_juliaflesherkoch,Julia Flesher Koch is an American businesswoman and philanthropist who has a net worth of $63 billion. Julia Flesher Koch inherited her fortune as the widow of billionaire tycoon David Koch.,Julia Flesher Koch és una empresaria i filantropa nord-americana que té un patrimoni net de 63.000 milions de dòlars. Julia Flesher Koch va heretar la seva fortuna com a vídua del magnat multimilionari David Koch.
bio_charleskoch,"Charles Koch is an American businessman who has a net worth of $60 billion. For much of his adult life, Charles has been co-owner of Koch Industries, along with brother David.","Charles Koch és un empresari nord-americà que té un valor net de 60.000 milions de dòlars. Durant gran part de la seva vida adulta, Charles ha estat copropietari de Koch Industries, juntament amb el germà David."
bio_jacquelinemars,"Jacqueline Mars is a billionaire heiress and philanthropist who has a net worth of $55 billion. Jacqueline Mars is the daughter of Forrest Edward Mars, Sr., and granddaughter of Frank C. Mars,","Jacqueline Mars és una hereva i filantropa multimilionària que té un valor net de 55.000 milions de dòlars. Jacqueline Mars és filla de Forrest Edward Mars, Sr., i néta de Frank C. Mars,"
bio_johnmars,"John Mars is a Wyoming-based businessman who has a net worth of $54 billion. John Mars serves as the chairman of the multinational Mars corporation. A member of the prominent Mars family, he is the grandson of Frank C. Mars, who started the eponymous confectionery and food company in Tacoma, Washington in 1911. ","John Mars és un empresari de Wyoming que té un valor net de 54.000 milions de dòlars. John Mars és el president de la multinacional Mars Corporation. Membre de la destacada família Mars, és nét de Frank C. Mars, que va fundar l'empresa homònima de pastisseria i alimentació a Tacoma, Washington el 1911. "
bio_davidthomson,"David Thomson, the 3rd Baron Thomson of Fleet, is a Canadian businessman, media magnate, art collector who has a net worth of $50 billion. David Thomson is the Chairman of the Thomson Reuters corporation and his family is the richest in Canada.","David Thomson, el tercer baró Thomson de Fleet, és un empresari canadenc, magnat dels mitjans de comunicació i col·leccionista d'art que té un patrimoni net de 50.000 milions de dòlars. David Thomson és el president de la corporació Thomson Reuters i la seva família és la més rica del Canadà."
bio_colinhuang,"Colin Huang is a Chinese businessman, philanthropist, and investor who has a net worth of $49 billion. Colin Huang is best known for being the founder and former CEO of Pinduoduo, China's largest e-commerce platform. Pinduoduo is owned by PDD Holdings, which also owns e-commerce giant Temu.","Colin Huang és un empresari, filantrop i inversor xinès que té un valor net de 49.000 milions de dòlars. Colin Huang és conegut sobretot per ser el fundador i antic conseller delegat de Pinduoduo, la plataforma de comerç electrònic més gran de la Xina. Pinduoduo és propietat de PDD Holdings, que també és propietari del gegant del comerç electrònic Temu."
bio_zhongshanshan,Zhong Shanshan is a Chinese businessman and entrepreneur who has a net worth of $47 billion. Zhong Shanshan earned his fortune thanks to the Chinese bottled water company Nongfu Spring and the Beijing Wantai Biological Pharmacy.,Zhong Shanshan és un empresari i emprenedor xinès que té un valor net de 47.000 milions de dòlars. Zhong Shanshan va guanyar la seva fortuna gràcies a l'empresa xinesa d'aigua embotellada Nongfu Spring i la Farmàcia Biològica Wantai de Beijing.
bio_jeffyass,Jeff Yass is a billionaire businessman who has a net worth of $46 billion. Jeff Yass earned his fortune as the co-founder of the Philadelphia-based trading and technology firm Susquehanna International Group.,"Jeff Yass és un empresari multimilionari que té un valor net de 46.000 milions de dòlars. Jeff Yass va guanyar la seva fortuna com a cofundador de la firma comercial i tecnològica Susquehanna International Group, amb seu a Filadèlfia."
bio_gerardwertheimer,Gerard Wertheimer is a French businessman who has a net worth of $45 billion. He is best known for owning and operating The House of Chanel perfume company. Their grandfather Pierre co-founded the House of Chanel with Coco Chanel.,Gerard Wertheimer és un empresari francès que té un patrimoni net de 45.000 milions de dòlars. És més conegut per posseir i operar l'empresa de perfums The House of Chanel. El seu avi Pierre va cofundar la House of Chanel amb Coco Chanel.
bio_alainwertheimer,Alain Wertheimer is a French businessman who has a net worth of $45 billion. Alain Wertheimer and his brother Gerard own the controlling interest in the House of Chanel. The brothers are also invested in Bell & Ross. Their grandfather Pierre co-founded the House of Chanel with Coco Chanel.,Alain Wertheimer és un empresari francès que té un patrimoni net de 45.000 milions de dòlars. Alain Wertheimer i el seu germà Gerard posseeixen la participació de control a la Casa Chanel. Els germans també estan invertits en Bell & Ross. El seu avi Pierre va cofundar la House of Chanel amb Coco Chanel.
bio_zhangyiming,"Zhang Yiming is a Chinese businessman and entrepreneur who has a net worth of $44 billion. Zhang Yiming is a billionaire Chinese Internet entrepreneur, best known for co-founding the company ByteDance and developing its popular video-sharing service TikTok.","Zhang Yiming és un empresari i emprenedor xinès que té un valor net de 44.000 milions de dòlars. Zhang Yiming és un empresari multimilionari d'Internet xinès, més conegut per cofundar l'empresa ByteDance i desenvolupar el seu popular servei d'intercanvi de vídeos TikTok."
bio_philknight,"Phil Knight is an American businessman, sports fan and philanthropist who has a net worth of $43 billion. Phil Knight earned his net worth as the founder and largest individual shareholder of Nike Inc.","Phil Knight és un home de negocis, aficionat a l'esport i filantrop nord-americà que té un patrimoni net de 43.000 milions de dòlars. Phil Knight va guanyar el seu patrimoni net com a fundador i accionista individual més gran de Nike Inc."
bio_stephenschwarzman,"Stephen Schwarzman is an American businessman who has a net worth of $42 billion. Stephen earned his fortune thanks to The Blackstone Group which he co-founded. The Group currently manages nearly $650 billion in assets, particularly agressively in Real Estate.","Stephen Schwarzman és un empresari nord-americà que té un patrimoni net de 42.000 milions de dòlars. Stephen va guanyar la seva fortuna gràcies a The Blackstone Group, que va cofundar. Actualment, el grup gestiona prop de 650.000 milions de dòlars en actius, especialment de manera agressiva en el sector immobiliari."
bio_changpengzhao,"Changpeng Zhao is a Chinese-Canadian business executive who has a net worth of $42 billion. Zhao is best known for founding the world's largest cryptocurrency exchange, Binance. Changpeng also serves as the CEO of this company.","Changpeng Zhao és un executiu de negocis xinès-canadenc que té un valor net de 42.000 milions de dòlars. Zhao és més conegut per fundar l'intercanvi de criptomonedes més gran del món, Binance. Changpeng també actua com a director general d'aquesta empresa."
bio_kengriffin,"Ken Griffin is an American entrepreneur who has a net worth of $41 billion. Griffin is the CEO of Citadel, a hedge fund with over $65 billion in assets under management.","Ken Griffin és un empresari nord-americà que té un valor net de 41.000 milions de dòlars. Griffin és el conseller delegat de Citadel, un fons de cobertura amb més de 65.000 milions de dòlars en actius sota gestió."
bio_giovanniferrero,"Giovanni Ferrero is an Italian businessman who has a net worth of $41 billion. Giovanni Ferrero was born in Farigliano, Italy in April 1964. He is best known for his ownership of the Ferraro Group, the world's second-largest chocolate company.","Giovanni Ferrero és un empresari italià que té un patrimoni net de 41.000 milions de dòlars. Giovanni Ferrero va néixer a Farigliano, Itàlia, l'abril de 1964. És conegut sobretot per la seva propietat del Grup Ferraro, la segona empresa de xocolata més gran del món."
bio_klausmichaelkuhne,"Klaus-Michael Kuhne has a net worth of $40 billion. Klaus-Michael Kuehne owns the global transport and logistics company Kühne + Nagel, which was co-founded by his grandfather August in 1890. He also has part-ownership of the global shipping and container transportation company Hapag-Lloyd, and is a major shareholder in the German flag-carrier Lufthansa.","Klaus-Michael Kuhne té un patrimoni net de 40.000 milions de dòlars. Klaus-Michael Kuehne és propietari de l'empresa global de transport i logística Kühne + Nagel, que va ser cofundada pel seu avi August el 1890. També és copropietat de l'empresa global de transport marítim i de contenidors Hapag-Lloyd, i és un accionista important. a la companyia de bandera alemanya Lufthansa."
bio_lenblavatnik,"Len Blavatnik is a Ukrainian-American businessman who has a net worth of $40 billion. Today, he owns the majority of Warner Music Group and the sports media company DAZN, as well as 1/5th of LyondellBasell Industries, one of the largest chemical companies in the world.","Len Blavatnik és un empresari ucraïnès-nord-americà que té un patrimoni net de 40.000 milions de dòlars. Actualment, és propietari de la majoria de Warner Music Group i de l'empresa de mitjans esportius DAZN, així com 1/5 de LyondellBasell Industries, una de les empreses químiques més grans del món."
bio_francoispinault,"François Pinault is a French luxury goods mogul who has a net worth of $40 billion. Today, he owns brands such as Gucci, Balenciaga, Yves Saint Laurent, Alexander McQueen, Puma, Brioni, and Maui Jim, among many others. In 2003 Francois appointed his son, François-Henri, to manage his collection of companies.","François Pinault és un magnat francès de productes de luxe que té un patrimoni net de 40.000 milions de dòlars. Actualment, és propietari de marques com Gucci, Balenciaga, Yves Saint Laurent, Alexander McQueen, Puma, Brioni i Maui Jim, entre moltes altres. L'any 2003 Francois va nomenar el seu fill, François-Henri, per gestionar la seva col·lecció d'empreses."
bio_mahuateng,"Pony Ma Huateng is a Chinese internet entrepreneur who has a net worth of $38 billion. Ma Huateng, nicknamed Pony, is the founder, president, chief executive officer, and executive board member of Tencent Holdings, Ltd.","Pony Ma Huateng és un empresari d'Internet xinès que té un valor net de 38.000 milions de dòlars. Ma Huateng, sobrenomenat Pony, és el fundador, president, conseller delegat i membre del consell executiu de Tencent Holdings, Ltd."
bio_mackenziescott,"MacKenzie Scott, formerly known as MacKenzie Bezos, is an American novelist, philanthropist and activist who has a net worth of $36 billion. She is known for being the wife of Amazon founder Jeff Bezos from 1993 to 2019.","MacKenzie Scott, abans conegut com MacKenzie Bezos, és un novel·lista, filantrop i activista nord-americà que té un patrimoni net de 36.000 milions de dòlars. És coneguda per ser l'esposa del fundador d'Amazon Jeff Bezos des del 1993 fins al 2019."
bio_shivnadar,"Shiv Nadar is an Indian tech tycoon who has a net worth of $35 billion. Shiv Nadar is the founder and chairman of HCL. HCL started out as an IT hardware company, and in the 1990s, it branched out to software services.","Shiv Nadar és un magnat de la tecnologia indi que té un valor net de 35.000 milions de dòlars. Shiv Nadar és el fundador i president de HCL. HCL va començar com una empresa de maquinari informàtic i, a la dècada de 1990, es va ramificar als serveis de programari."
bio_vladimirpotanin,"Vladimir Potanin is a Russian billionaire oligarch who has a net worth of $35 billion. He amassed his fortune largely via Boris Yeltsin's loans-for-shares scheme in the 90s, through which he acquired the mining and smelting company Norilsk Nickel.","Vladimir Potanin és un oligarca multimilionari rus que té un patrimoni net de 35.000 milions de dòlars. Va acumular la seva fortuna en gran part a través del programa de préstecs per accions de Boris Yeltsin als anys 90, mitjançant el qual va adquirir l'empresa de mineria i fosa Norilsk Nickel."
bio_tadashiyanai,"Tadashi Yanai is a Japanese entrepreneur who has a net worth of $35 billion. A businessman and CEO, Tadashi Yanai is the President and founder of the Japanese company, Fast Retailing, which is the umbrella company for Uniqlo retail stores.","Tadashi Yanai és un empresari japonès que té un valor net de 35.000 milions de dòlars. Empresari i conseller delegat, Tadashi Yanai és el president i fundador de l'empresa japonesa Fast Retailing, que és l'empresa paraigua de les botigues minoristes Uniqlo."
bio_jackma,"Jack Ma is a Chinese businessman and investor who has a net worth of $34 billion. He is best known as the co-founder and former executive chairman of the multinational conglomerate, Alibaba Group.",Jack Ma és un empresari i inversor xinès que té un valor net de 34.000 milions de dòlars. És més conegut com a cofundador i antic president executiu del conglomerat multinacional Alibaba Group.
bio_miriamadelson,"Miriam Adelson is an Israeli American physician, political donor and casino heiress who has a net worth of $34 billion. Miriam earned her fortune thanks to her multi-decade marriage to the late Casino magnate Sheldon Adelson.","Miriam Adelson és una metgessa israeliana nord-americana, donant política i hereva del casino que té un patrimoni net de 34.000 milions de dòlars. Miriam va guanyar fortuna gràcies al seu matrimoni de diverses dècades amb el difunt magnat del Casino Sheldon Adelson."
bio_leeshaukee,"Lee Shau Kee is a real estate mogul from Hong Kong who has a net worth of $33 billion. Born in Shunde, Guangdong, China, in 1928, Lee Shau Kee is the majority owner of Henderson Land Development, a Hong Kong-based company that works in property development, management, and construction.","Lee Shau Kee és un magnat immobiliari de Hong Kong que té un patrimoni net de 33.000 milions de dòlars. Nascut a Shunde, Guangdong, Xina, el 1928, Lee Shau Kee és el propietari majoritari de Henderson Land Development, una empresa amb seu a Hong Kong que treballa en la promoció, gestió i construcció de propietats."
bio_ericschmidt,Eric Schmidt is an American businessman and philanthropist who has a net worth of $32 billion. Eric Schmidt is most notable for being the former CEO of Google. Eric was brought in to take over as CEO from company founders Larry Page and Sergey Brin in 2001.,Eric Schmidt és un empresari i filantrop nord-americà que té un valor net de 32.000 milions de dòlars. Eric Schmidt destaca per ser l'antic CEO de Google. Eric va ser contractat per assumir el càrrec de conseller delegat dels fundadors de l'empresa Larry Page i Sergey Brin el 2001.
bio_dangilbert,Dan Gilbert is an American self-made entrepreneur who has a net worth of $32 billion dollars. Dan Gilbert earned his fortune as the founder and CEO of Quicken Loans (originally called Rock Financial).,Dan Gilbert és un empresari nord-americà fet a si mateix que té un valor net de 32.000 milions de dòlars. Dan Gilbert va guanyar la seva fortuna com a fundador i CEO de Quicken Loans (originalment anomenat Rock Financial).
bio_likashing,"Li Ka-shing is a Hong Kong-born businessman who has a net worth of $31 billion. Li Ka-shing's wealth is mostly the result of his stakes in various companies, including the real estate development firm Cheung Kong Property Holdings, the Canadian energy company Husky Energy, and the Hong Kong conglomerate CK Hutchison Holdings.","Li Ka-shing és un empresari nascut a Hong Kong que té un valor net de 31.000 milions de dòlars. La riquesa de Li Ka-shing és principalment el resultat de les seves participacions en diverses empreses, com ara l'empresa de desenvolupament immobiliari Cheung Kong Property Holdings, la companyia energètica canadenca Husky Energy i el conglomerat de Hong Kong CK Hutchison Holdings."
bio_eduardosaverin,Eduardo Saverin is a Brazilian-born internet entrepreneur who has a net worth of $30 billion. Eduardo Saverin is famous for being one of the co-founders of Facebook.,Eduardo Saverin és un empresari d'Internet nascut al Brasil que té un valor net de 30.000 milions de dòlars. Eduardo Saverin és famós per ser un dels cofundadors de Facebook.
bio_markmateschitz,"Mark Mateschitz is an Austrian billionaire who has a net worth of $30 billion. Mark Mateschitz earned his fortune as a part-owner of the energy drink company Red Bull, which his father Dietrich Mateschitz co-founded in 1984.","Mark Mateschitz és un multimilionari austríac que té un patrimoni net de 30.000 milions de dòlars. Mark Mateschitz va guanyar la seva fortuna com a copropietari de la companyia de begudes energètiques Red Bull, que el seu pare Dietrich Mateschitz va cofundar el 1984."
bio_mahavajiralongkorn,Maha Vajiralongkorn is the crown prince of Thailand and has a net worth of $30 billion.,Maha Vajiralongkorn és el príncep hereu de Tailàndia i té un patrimoni net de 30.000 milions de dòlars.
bio_dieterschwarz,Dieter Schwarz is a German entrepreneur who has a net worth of $30 billion. Dieter Schwarz inherited the Schwarz-Gruppe (Schwarz Group) from his father.,Dieter Schwarz és un empresari alemany que té un patrimoni net de 30.000 milions de dòlars. Dieter Schwarz va heretar el Schwarz-Gruppe (Grup Schwarz) del seu pare.
bio_germanlarreamotavelasco,"German Larrea Mota Velasco is a Mexican businessman who has a net worth of $30 billion. German Larrea Mota Velasco is the CEO of Grupo Mexico, the country's largest mining corporation and one of the largest copper producers in the world. What's more, he owns over 5,000 kilometers of railroads that stretch across 71% of Mexico.","German Larrea Mota Velasco és un empresari mexicà que té un patrimoni net de 30.000 milions de dòlars. German Larrea Mota Velasco és el conseller delegat de Grupo Mexico, la major empresa minera del país i un dels productors de coure més grans del món. A més, té més de 5.000 quilòmetres de ferrocarrils que s'estenen pel 71% de Mèxic."
bio_sultanofbrunei,"The Sultan of Brunei, also known as Hassanai Bolkiah Mu'izzaddin Waddaulah, has a net worth of $30 billion.","El sultà de Brunei, també conegut com Hassanai Bolkiah Mu'izzaddin Waddaulah, té un patrimoni net de 30.000 milions de dòlars."
bio_sheikhmansourbinzayedalnahyan,Sheikh Mansour bin Zayed Al Nahyan is a United Arab Emirates politician and businessman who has a net worth of 30 Billion.,El xeic Mansour bin Zayed Al Nahyan és un polític i empresari dels Emirats Àrabs Units que té un patrimoni net de 30 mil milions.
bio_alikodangote,"Aliko Dangote is a Nigerian businessman who has a net worth of $28 billion. He earned his net worth by founding The Dangote Group, which now controls much of Nigeria's commodities.","Aliko Dangote és un empresari nigerià que té un valor net de 28.000 milions de dòlars. Va guanyar el seu patrimoni net fundant The Dangote Group, que ara controla bona part de les mercaderies de Nigèria."
bio_abigailjohnson,"Abigail Johnson is an American businesswoman who has a net worth of $28 billion. Abigail Johnson is the Chairman, CEO and President of the company started by her father, Fidelity Investments.","Abigail Johnson és una empresaria nord-americana que té un patrimoni net de 28.000 milions de dòlars. Abigail Johnson és la presidenta, consellera delegada i presidenta de l'empresa iniciada pel seu pare, Fidelity Investments."
bio_hexiangjian,"He Xiangjian is the co-founder of Midea Group who has a net worth of $27 billion. He Xiangjian owns Midea, which is one of China's biggest appliances manufacturers.","He Xiangjian és el cofundador de Midea Group que té un patrimoni net de 27.000 milions de dòlars. He Xiangjian és propietari de Midea, que és un dels fabricants d'electrodomèstics més grans de la Xina."
bio_savitrijindal,"Savitri Jindal is an Indian steel baroness who has a net worth of $27 billion. Her fortune makes her the richest woman in India. Jindal inherited majority control of steel and power conglomerate O.P. Jindal Group upon the death of her husband, O.P. Jindal, who perished in a 2005 helicopter crash.","Savitri Jindal és una baronessa de l'acer índia que té un valor net de 27.000 milions de dòlars. La seva fortuna la converteix en la dona més rica de l'Índia. Jindal va heretar el control majoritari del conglomerat d'acer i energia O.P. Jindal Group després de la mort del seu marit, O.P. Jindal, que va morir en un accident d'helicòpter el 2005."
bio_rbudihartono,"R. Budi Hartono is a Chinese Indonesian tobacco billionaire who has a net worth of $26 billion. Budi Hartono and his brother have amassed their fortunes in a number of ways, owning shares in Bank Central Asia, producing palm oil, real estate ventures and other businesses","R. Budi Hartono és un multimilionari xinès del tabac indonesi que té un patrimoni net de 26.000 milions de dòlars. Budi Hartono i el seu germà han acumulat les seves fortunes de diverses maneres, com ara posseir accions al Bank Central Asia, oli de palma, diverses immobiliàries i altres empreses."
